x,y,z
1,28,20
1,4,56
1,52,56
2,24,16
2,32,16
2,24,24
2,32,24
2,5,56
2,51,56
3,20,20
3,28,20
3,36,20
3,6,56
3,50,56
4,16,16
4,40,16
4,16,24
4,40,24
4,7,56
4,49,56
5,20,28
5,36,28
5,20,12
5,36,12
5,12,20
5,44,20
5,8,56
5,48,56
6,24,16
6,32,16
6,24,24
6,32,24
6,9,56
6,47,56
7,28,12
7,28,28
7,20,20
7,36,20
7,10,56
7,46,56
8,16,24
8,40,24
8,16,16
8,40,16
8,11,56
8,45,56
9,12,12
9,44,12
9,12,20
9,44,20
9,20,28
9,36,28
9,20,12
9,36,12
9,12,56
9,44,56
10,24,8
10,16,8
10,32,8
10,40,8
10,16,16
10,40,16
10,16,24
10,40,24
10,16,32
10,40,32
10,24,32
10,32,32
10,13,56
10,43,56
11,12,28
11,44,28
11,12,4
11,44,4
11,28,4
11,28,36
11,20,20
11,36,20
11,14,56
11,42,56
12,16,8
12,24,8
12,32,8
12,40,8
12,16,16
12,16,24
12,16,32
12,40,16
12,40,24
12,40,32
12,24,32
12,32,32
12,15,56
12,41,56
13,12,4
13,28,4
13,44,4
13,20,20
13,36,20
13,28,36
13,44,28
13,12,28
13,16,56
13,40,56
14,16,8
14,24,8
14,32,8
14,40,8
14,16,16
14,16,24
14,16,32
14,40,16
14,40,24
14,40,32
14,24,32
14,32,32
15,28,4
15,12,4
15,44,4
15,20,20
15,36,20
15,12,28
15,44,28
15,28,36
16,16,8
16,24,8
16,32,8
16,40,8
16,16,16
16,16,24
16,16,32
16,24,32
16,32,32
16,40,32
16,40,16
16,40,24
16,24,16
16,32,16
16,24,24
16,32,24
17,12,12
17,20,12
17,28,12
17,36,12
17,44,12
17,12,20
17,12,4
17,20,4
17,28,4
17,36,4
17,44,4
17,20,20
17,28,20
17,36,20
17,44,20
17,12,28
17,12,36
17,20,28
17,28,28
17,36,28
17,44,28
17,20,36
17,28,36
17,36,36
17,44,36
18,8,8
18,8,16
18,8,24
18,8,32
18,48,8
18,48,16
18,48,24
18,48,32
18,16,0
18,24,0
18,32,0
18,40,0
18,16,8
18,24,8
18,32,8
18,40,8
18,16,16
18,24,16
18,32,16
18,40,16
18,16,24
18,16,32
18,24,24
18,24,32
18,32,32
18,32,24
18,40,24
18,40,32
18,24,40
18,32,40
19,4,8
19,52,8
19,44,12
19,20,44
19,28,44
19,36,44
19,20,36
19,28,36
19,36,36
19,20,0
19,28,0
19,36,0
19,44,24
19,52,24
19,44,32
19,52,32
19,12,8
19,12,16
19,12,24
19,20,8
19,28,8
19,36,8
19,20,16
19,28,16
19,36,16
19,20,24
19,28,24
19,36,24
20,4,4
20,52,4
20,4,12
20,52,12
20,44,16
20,48,36
20,44,8
20,24,36
20,32,36
20,28,48
21,4,0
21,52,0
21,4,16
21,52,16
21,52,40
22,4,20
22,4,12
22,48,44
23,4,24
23,44,48
24,4,28
24,4,20
25,8,32
25,4,16
26,4,36
26,12,32
27,8,40
28,12,44
29,16,48
